payment_id,card_type,card_number,cvv,name_on_card,customer_id
P101,Credit,2637231147,259,Dana Jones,1001
P102,Debit,2314090152,628,Dana Jones,1001
P103,Debit,3160466116,750,Dana Jones,1001
P104,Debit,1924770950,643,Ronnie Gill,1002
P105,Debit,2605710031,348,Ronnie Gill,1002
P106,Debit,1760861438,372,Debra Jones,1003
P107,Debit,2486382462,821,Debra Jones,1003
P108,Debit,2026172246,573,Debra Jones,1003
P109,Debit,1652325458,664,Raven Thompson,1004
P110,Debit,1593155579,527,Raven Thompson,1004
P111,Debit,3600749836,366,Raven Thompson,1004
P112,Debit,1629603244,331,Raven Thompson,1004
P113,Credit,2196257042,497,Eva Johnson,1005
P114,Credit,3176037606,699,Eva Johnson,1005
P115,Credit,4227850650,867,Eva Johnson,1006
P116,Credit,1922366282,870,Eva Johnson,1006
P117,Credit,4290419995,890,Eva Johnson,1006
P118,Credit,1831996471,268,Rihanna Jones,1007
P119,Credit,2394100413,417,Rihanna Jones,1007
P120,Credit,1127802595,488,Jay Kivell,1008
P121,Credit,3211572399,599,Jay Kivell,1008
P122,Credit,3754477702,376,Jay Kivell,1008
P123,Credit,4332207305,283,Alisha Sorvino,1009
P124,Credit,1370698763,642,Alisha Sorvino,1009
P125,Credit,3046243391,150,Alisha Sorvino,1009
P126,Debit,2145277261,644,Alisha Sorvino,1009
P127,Debit,1427358687,815,Alisha Sorvino,1009
P128,Debit,3879003240,704,Dana Moore,1010
P129,Debit,1494504380,518,Dana Moore,1010
P130,Debit,1513724846,471,Ashley Brown,1011
P131,Debit,1150749080,659,Ashley Brown,1011
P132,Debit,2021084797,490,Ashley Brown,1011
P133,Debit,2583687271,846,Debra Pearson,1012
P134,Debit,2643425696,265,Debra Pearson,1012
P135,Debit,1627922960,258,Mattew Jardine,1013
P136,Debit,3349298033,660,Mattew Jardine,1013
P137,Debit,2556226002,517,Mattew Jardine,1013
P138,Debit,2122858396,441,Ronda Poe,1014
P139,Debit,4327209833,326,Ronda Poe,1014
P140,Credit,3216903325,487,Ronda Poe,1014
P141,Credit,1819229414,813,Ronda Poe,1014
P142,Credit,2751033800,882,Errol Lindo,1015
P143,Credit,1641183774,308,Cleopatra Soul,1016
P144,Credit,1194550010,350,Stevie Wonder,1017
P145,Credit,1408194222,377,Anita Baker,1018
P146,Credit,1342371996,318,Marvin Gaye,1019
P147,Credit,3259865998,562,Kirk Franklin,1020
P148,Credit,4198907218,691,Teddy  Pendergrass,2001
P149,Credit,1253548883,134,Earth Wind-Fire,2002
P150,Credit,2769503830,288,Cameo Sparkle,2003
P151,Credit,4111052432,774,Adele Franklin,2004
P152,Credit,2733430220,310,Donna Summer,2005
P153,Credit,1481583127,206,James Brown,2006
P154,Credit,1754015666,590,Shonda Rhimes,2007
P155,Credit,4327697062,143,Halle Berry,2008
P156,Credit,2776996454,445,Annalise Keeting,2009
P157,Credit,1508118285,102,Lauryn Hill,2010
P158,Credit,3613558356,618,Elizabeth Andrews,2011
P159,Credit,1377075209,387,David Jardine,2012
P160,Credit,1775034267,308,Kamari Thompson,2013
P161,Credit,1086781067,817,Dana Jones,2014
P162,Credit,4289402597,398,John Kivell,2015
P163,Credit,1867595319,166,Ashley Jardine,2016
P164,Credit,2153326098,334,Ronnie Gill,2017
P165,Credit,2287425122,767,James Sorvino,2018
P166,Credit,3153569739,796,Debra Jones,2019
P167,Credit,2907204337,378,Anastasia Andrews,2020
P168,Credit,3379971129,610,Mattew Jardine,3001
P169,Credit,3559421590,516,Raven Thompson,3002
P170,Credit,4068575013,848,Tykeem Peterkin,3003
P171,Credit,1461189748,684,Ronda Poe,3004
P172,Credit,1603218647,441,Bria Moore,3005
P173,Credit,3698423753,448,Eva Johnson,3006
P174,Credit,4352973259,652,Brianna Montana,3007
P175,Credit,2060023961,848,Aniya Knowles,3008
P176,Credit,1490287836,319,Cody Springle,3009
P177,Credit,1528160762,455,Marcus Moore,3010
P178,Credit,2465051294,269,Rihanna Jones,3011
P179,Credit,1725024863,837,Beyonce Jones,3012
P180,Credit,2740985596,114,Jay Kivell,3013
P181,Credit,4209354840,880,Diddy Jardine,3014
P182,Credit,1903101101,552,Nasir Gill,3015
P183,Credit,1022378637,861,Alisha Sorvino,3016
P184,Credit,3940621897,596,Marie Jones,3017
P185,Credit,1793626701,885,Elizabeth Andrews,3018
P186,Credit,1936844809,677,David Jardine,3019
P187,Credit,1121240227,433,Kamari Thompson,3020
P188,Credit,4160078849,842,Dana Moore,3020
